,address,categoryName,phone,postalCode,reviewsCount,state,title,website
179,"Govandi Slums, Govandi West, 1wu 2nd, Shivaji Nagar, Mumbai, Maharashtra 400043, India",Baby store,+91 98676 73931,400043.0,0,Maharashtra,MOH SUFIYAN,
178,"Kalina Kurla Rd, Kolivery Village, Shastri Nagar, Kalina, Kurla, Mumbai, Maharashtra 400029, India",Baby store,+91 98670 09860,400029.0,0,Maharashtra,Durjan Tea Shop,
157,"Shop No 5, Neelam, Bori Colony, Vijay Nagar Colony West, Marol, Andheri East, Mumbai, Maharashtra 400059, India",Baby store,+91 98679 57509,400059.0,1,Maharashtra,Arifa Fast Food,
177,"Andheri - Ghatkopar Link Rd, Azad Nagar, Asalpha, Mumbai, Maharashtra 400086, India",Baby store,,,0,,Mehboob Mashak Patel,
175,"Chimatpada, Marol Naka, Andheri East, Mumbai, Maharashtra 400059, India",Baby store,+91 95944 98244,400059.0,0,Maharashtra,Prakash Footwear,
174,"Shop No 1, Ghatkopar, Mumbai, Maharashtra 400086, India",Baby store,+91 73598 49154,400086.0,0,Maharashtra,Deepika Patel,
298,"Sahyog Sall, 4, New Link Rd, Anand Nagar, Jogeshwari West, Mumbai, Maharashtra 400102, India",Baby store,+91 95945 19005,400102.0,0,Maharashtra,Kambeshwar Novelty Store,
173,"25, Shop Kurla Raoad, Ambedkar Nagar, Kurla West, Kurla, Mumbai, Maharashtra 400070, India",Baby store,+91 89575 13710,400070.0,0,Maharashtra,Kuldeep General Shop,
172,"Shop No19 S Block Room No57 Road No 5 Plot No29, Govandi Slums, Baiganwadi, Mumbai, Maharashtra 400043, India",Baby store,+91 91367 49906,400043.0,0,Maharashtra,Ramzan Store,
169,"Sabale Nagar, Kurla, Mumbai, Maharashtra 400024, India",Baby store,+91 84519 94831,400024.0,0,Maharashtra,Shree Hari General Store,
